Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
806856376,471,cuModuleGetLoadingMode,0,1,1656021,1656021,20,python
832518663,812,cuGetProcAddress,0,114,1656021,1656021,20,python
832519767,524,cuGetProcAddress,0,115,1656021,1656021,20,python
832520368,48,cuGetProcAddress,0,116,1656021,1656021,20,python
832520472,313,cuGetProcAddress,0,117,1656021,1656021,20,python
832520851,163,cuGetProcAddress,0,118,1656021,1656021,20,python
832521071,250,cuGetProcAddress,0,119,1656021,1656021,20,python
832521376,189,cuGetProcAddress,0,120,1656021,1656021,20,python
832521621,317,cuGetProcAddress,0,121,1656021,1656021,20,python
832521991,307,cuGetProcAddress,0,122,1656021,1656021,20,python
832522353,183,cuGetProcAddress,0,123,1656021,1656021,20,python
832522586,256,cuGetProcAddress,0,124,1656021,1656021,20,python
832522896,157,cuGetProcAddress,0,125,1656021,1656021,20,python
832523101,133,cuGetProcAddress,0,126,1656021,1656021,20,python
832523282,152,cuGetProcAddress,0,127,1656021,1656021,20,python
832523487,234,cuGetProcAddress,0,128,1656021,1656021,20,python
832523773,172,cuGetProcAddress,0,129,1656021,1656021,20,python
832523997,150,cuGetProcAddress,0,130,1656021,1656021,20,python
832524199,127,cuGetProcAddress,0,131,1656021,1656021,20,python
832524379,163,cuGetProcAddress,0,132,1656021,1656021,20,python
832524591,138,cuGetProcAddress,0,133,1656021,1656021,20,python
832524782,139,cuGetProcAddress,0,134,1656021,1656021,20,python
832524970,102,cuGetProcAddress,0,135,1656021,1656021,20,python
832525125,188,cuGetProcAddress,0,136,1656021,1656021,20,python
832525361,244,cuGetProcAddress,0,137,1656021,1656021,20,python
832525657,131,cuGetProcAddress,0,138,1656021,1656021,20,python
832525841,223,cuGetProcAddress,0,139,1656021,1656021,20,python
832526112,51,cuGetProcAddress,0,140,1656021,1656021,20,python
832526217,136,cuGetProcAddress,0,141,1656021,1656021,20,python
832526401,75,cuGetProcAddress,0,142,1656021,1656021,20,python
832526529,112,cuGetProcAddress,0,143,1656021,1656021,20,python
832526688,125,cuGetProcAddress,0,144,1656021,1656021,20,python
832526864,97,cuGetProcAddress,0,145,1656021,1656021,20,python
832527007,148,cuGetProcAddress,0,146,1656021,1656021,20,python
832527202,170,cuGetProcAddress,0,147,1656021,1656021,20,python
832527425,180,cuGetProcAddress,0,148,1656021,1656021,20,python
832527651,240,cuGetProcAddress,0,149,1656021,1656021,20,python
832527942,68,cuGetProcAddress,0,150,1656021,1656021,20,python
832528057,113,cuGetProcAddress,0,151,1656021,1656021,20,python
832528222,142,cuGetProcAddress,0,152,1656021,1656021,20,python
832528410,193,cuGetProcAddress,0,153,1656021,1656021,20,python
832528656,165,cuGetProcAddress,0,154,1656021,1656021,20,python
