Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
808922308,364,cuModuleGetLoadingMode,0,1,1656046,1656046,20,python
834134793,777,cuGetProcAddress,0,114,1656046,1656046,20,python
834135794,601,cuGetProcAddress,0,115,1656046,1656046,20,python
834136469,44,cuGetProcAddress,0,116,1656046,1656046,20,python
834136572,257,cuGetProcAddress,0,117,1656046,1656046,20,python
834136889,171,cuGetProcAddress,0,118,1656046,1656046,20,python
834137117,167,cuGetProcAddress,0,119,1656046,1656046,20,python
834137341,184,cuGetProcAddress,0,120,1656046,1656046,20,python
834137583,216,cuGetProcAddress,0,121,1656046,1656046,20,python
834137854,216,cuGetProcAddress,0,122,1656046,1656046,20,python
834138125,254,cuGetProcAddress,0,123,1656046,1656046,20,python
834138435,245,cuGetProcAddress,0,124,1656046,1656046,20,python
834138734,161,cuGetProcAddress,0,125,1656046,1656046,20,python
834138952,115,cuGetProcAddress,0,126,1656046,1656046,20,python
834139120,125,cuGetProcAddress,0,127,1656046,1656046,20,python
834139301,198,cuGetProcAddress,0,128,1656046,1656046,20,python
834139554,145,cuGetProcAddress,0,129,1656046,1656046,20,python
834139752,264,cuGetProcAddress,0,130,1656046,1656046,20,python
834140069,194,cuGetProcAddress,0,131,1656046,1656046,20,python
834140315,114,cuGetProcAddress,0,132,1656046,1656046,20,python
834140482,155,cuGetProcAddress,0,133,1656046,1656046,20,python
834140690,172,cuGetProcAddress,0,134,1656046,1656046,20,python
834140911,109,cuGetProcAddress,0,135,1656046,1656046,20,python
834141071,197,cuGetProcAddress,0,136,1656046,1656046,20,python
834141317,202,cuGetProcAddress,0,137,1656046,1656046,20,python
834141572,45,cuGetProcAddress,0,138,1656046,1656046,20,python
834141670,264,cuGetProcAddress,0,139,1656046,1656046,20,python
834141986,52,cuGetProcAddress,0,140,1656046,1656046,20,python
834142163,63,cuGetProcAddress,0,141,1656046,1656046,20,python
834142278,64,cuGetProcAddress,0,142,1656046,1656046,20,python
834142389,54,cuGetProcAddress,0,143,1656046,1656046,20,python
834142494,80,cuGetProcAddress,0,144,1656046,1656046,20,python
834142711,99,cuGetProcAddress,0,145,1656046,1656046,20,python
834142864,189,cuGetProcAddress,0,146,1656046,1656046,20,python
834143105,69,cuGetProcAddress,0,147,1656046,1656046,20,python
834143226,119,cuGetProcAddress,0,148,1656046,1656046,20,python
834143392,112,cuGetProcAddress,0,149,1656046,1656046,20,python
834143550,71,cuGetProcAddress,0,150,1656046,1656046,20,python
834143667,104,cuGetProcAddress,0,151,1656046,1656046,20,python
834143816,283,cuGetProcAddress,0,152,1656046,1656046,20,python
834144143,184,cuGetProcAddress,0,153,1656046,1656046,20,python
834144374,156,cuGetProcAddress,0,154,1656046,1656046,20,python
834144574,109,cuGetProcAddress,0,155,1656046,1656046,20,python
834144730,90,cuGetProcAddress,0,156,1656046,1656046,20,python
834144867,75,cuGetProcAddress,0,157,1656046,1656046,20,python
834144986,70,cuGetProcAddress,0,158,1656046,1656046,20,python
834145115,111,cuGetProcAddress,0,159,1656046,1656046,20,python
834145272,67,cuGetProcAddress,0,160,1656046,1656046,20,python
834145445,57,cuGetProcAddress,0,161,1656046,1656046,20,python
834145547,65,cuGetProcAddress,0,162,1656046,1656046,20,python
834145657,83,cuGetProcAddress,0,163,1656046,1656046,20,python
834145786,67,cuGetProcAddress,0,164,1656046,1656046,20,python
834145996,73,cuGetProcAddress,0,165,1656046,1656046,20,python
834146115,58,cuGetProcAddress,0,166,1656046,1656046,20,python
834146217,119,cuGetProcAddress,0,167,1656046,1656046,20,python
834146380,143,cuGetProcAddress,0,168,1656046,1656046,20,python
834146572,119,cuGetProcAddress,0,169,1656046,1656046,20,python
834146736,56,cuGetProcAddress,0,170,1656046,1656046,20,python
834146838,191,cuGetProcAddress,0,171,1656046,1656046,20,python
834147073,93,cuGetProcAddress,0,172,1656046,1656046,20,python
834147211,85,cuGetProcAddress,0,173,1656046,1656046,20,python
834147341,95,cuGetProcAddress,0,174,1656046,1656046,20,python
834147550,63,cuGetProcAddress,0,175,1656046,1656046,20,python
834147657,208,cuGetProcAddress,0,176,1656046,1656046,20,python
834147910,91,cuGetProcAddress,0,177,1656046,1656046,20,python
834148045,60,cuGetProcAddress,0,178,1656046,1656046,20,python
834148149,126,cuGetProcAddress,0,179,1656046,1656046,20,python
834148320,65,cuGetProcAddress,0,180,1656046,1656046,20,python
834148430,123,cuGetProcAddress,0,181,1656046,1656046,20,python
834148598,187,cuGetProcAddress,0,182,1656046,1656046,20,python
834148830,56,cuGetProcAddress,0,183,1656046,1656046,20,python
834148931,52,cuGetProcAddress,0,184,1656046,1656046,20,python
834149028,76,cuGetProcAddress,0,185,1656046,1656046,20,python
834149150,63,cuGetProcAddress,0,186,1656046,1656046,20,python
834149258,121,cuGetProcAddress,0,187,1656046,1656046,20,python
834149425,49,cuGetProcAddress,0,188,1656046,1656046,20,python
834149520,149,cuGetProcAddress,0,189,1656046,1656046,20,python
834149714,61,cuGetProcAddress,0,190,1656046,1656046,20,python
834149860,67,cuGetProcAddress,0,191,1656046,1656046,20,python
834149972,126,cuGetProcAddress,0,192,1656046,1656046,20,python
834150142,107,cuGetProcAddress,0,193,1656046,1656046,20,python
834150292,85,cuGetProcAddress,0,194,1656046,1656046,20,python
834150421,56,cuGetProcAddress,0,195,1656046,1656046,20,python
834150521,219,cuGetProcAddress,0,196,1656046,1656046,20,python
834150797,83,cuGetProcAddress,0,197,1656046,1656046,20,python
834150983,50,cuGetProcAddress,0,198,1656046,1656046,20,python
834151079,131,cuGetProcAddress,0,199,1656046,1656046,20,python
834151255,97,cuGetProcAddress,0,200,1656046,1656046,20,python
834151396,34,cuGetProcAddress,0,201,1656046,1656046,20,python
834151476,282,cuGetProcAddress,0,202,1656046,1656046,20,python
834151802,48,cuGetProcAddress,0,203,1656046,1656046,20,python
834151894,52,cuGetProcAddress,0,204,1656046,1656046,20,python
834151991,38,cuGetProcAddress,0,205,1656046,1656046,20,python
834152074,60,cuGetProcAddress,0,206,1656046,1656046,20,python
834152179,56,cuGetProcAddress,0,207,1656046,1656046,20,python
834152280,78,cuGetProcAddress,0,208,1656046,1656046,20,python
834152403,50,cuGetProcAddress,0,209,1656046,1656046,20,python
834152497,62,cuGetProcAddress,0,210,1656046,1656046,20,python
834152603,59,cuGetProcAddress,0,211,1656046,1656046,20,python
834152706,102,cuGetProcAddress,0,212,1656046,1656046,20,python
834152852,49,cuGetProcAddress,0,213,1656046,1656046,20,python
834152946,58,cuGetProcAddress,0,214,1656046,1656046,20,python
834153057,56,cuGetProcAddress,0,215,1656046,1656046,20,python
834153158,75,cuGetProcAddress,0,216,1656046,1656046,20,python
834153321,59,cuGetProcAddress,0,217,1656046,1656046,20,python
834153426,49,cuGetProcAddress,0,218,1656046,1656046,20,python
834153520,41,cuGetProcAddress,0,219,1656046,1656046,20,python
834153607,105,cuGetProcAddress,0,220,1656046,1656046,20,python
834153756,43,cuGetProcAddress,0,221,1656046,1656046,20,python
834153843,52,cuGetProcAddress,0,222,1656046,1656046,20,python
834153941,47,cuGetProcAddress,0,223,1656046,1656046,20,python
834154034,55,cuGetProcAddress,0,224,1656046,1656046,20,python
