Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
813469067,521,cuModuleGetLoadingMode,0,1,1656042,1656042,20,python
841181015,964,cuGetProcAddress,0,114,1656042,1656042,20,python
841182488,350,cuGetProcAddress,0,115,1656042,1656042,20,python
841182904,49,cuGetProcAddress,0,116,1656042,1656042,20,python
841183014,237,cuGetProcAddress,0,117,1656042,1656042,20,python
841183308,177,cuGetProcAddress,0,118,1656042,1656042,20,python
841183538,167,cuGetProcAddress,0,119,1656042,1656042,20,python
841183755,204,cuGetProcAddress,0,120,1656042,1656042,20,python
841184015,280,cuGetProcAddress,0,121,1656042,1656042,20,python
841184344,191,cuGetProcAddress,0,122,1656042,1656042,20,python
841184584,192,cuGetProcAddress,0,123,1656042,1656042,20,python
841184823,247,cuGetProcAddress,0,124,1656042,1656042,20,python
841185117,165,cuGetProcAddress,0,125,1656042,1656042,20,python
841185329,182,cuGetProcAddress,0,126,1656042,1656042,20,python
841185558,150,cuGetProcAddress,0,127,1656042,1656042,20,python
841185755,178,cuGetProcAddress,0,128,1656042,1656042,20,python
841185980,203,cuGetProcAddress,0,129,1656042,1656042,20,python
841186229,99,cuGetProcAddress,0,130,1656042,1656042,20,python
841186374,311,cuGetProcAddress,0,131,1656042,1656042,20,python
841186732,112,cuGetProcAddress,0,132,1656042,1656042,20,python
841186890,145,cuGetProcAddress,0,133,1656042,1656042,20,python
841187081,183,cuGetProcAddress,0,134,1656042,1656042,20,python
841187310,109,cuGetProcAddress,0,135,1656042,1656042,20,python
841187466,178,cuGetProcAddress,0,136,1656042,1656042,20,python
841187690,188,cuGetProcAddress,0,137,1656042,1656042,20,python
841187923,103,cuGetProcAddress,0,138,1656042,1656042,20,python
841188074,209,cuGetProcAddress,0,139,1656042,1656042,20,python
841188330,54,cuGetProcAddress,0,140,1656042,1656042,20,python
841188430,107,cuGetProcAddress,0,141,1656042,1656042,20,python
841188582,66,cuGetProcAddress,0,142,1656042,1656042,20,python
841188694,109,cuGetProcAddress,0,143,1656042,1656042,20,python
841188849,149,cuGetProcAddress,0,144,1656042,1656042,20,python
841189046,93,cuGetProcAddress,0,145,1656042,1656042,20,python
841189185,174,cuGetProcAddress,0,146,1656042,1656042,20,python
841189404,183,cuGetProcAddress,0,147,1656042,1656042,20,python
841189634,141,cuGetProcAddress,0,148,1656042,1656042,20,python
841189821,160,cuGetProcAddress,0,149,1656042,1656042,20,python
841190027,71,cuGetProcAddress,0,150,1656042,1656042,20,python
841190143,97,cuGetProcAddress,0,151,1656042,1656042,20,python
841190286,151,cuGetProcAddress,0,152,1656042,1656042,20,python
841190483,236,cuGetProcAddress,0,153,1656042,1656042,20,python
841190764,163,cuGetProcAddress,0,154,1656042,1656042,20,python
841190973,103,cuGetProcAddress,0,155,1656042,1656042,20,python
841191121,82,cuGetProcAddress,0,156,1656042,1656042,20,python
841191247,70,cuGetProcAddress,0,157,1656042,1656042,20,python
841191362,63,cuGetProcAddress,0,158,1656042,1656042,20,python
841191470,131,cuGetProcAddress,0,159,1656042,1656042,20,python
841191647,65,cuGetProcAddress,0,160,1656042,1656042,20,python
841191757,58,cuGetProcAddress,0,161,1656042,1656042,20,python
841191859,60,cuGetProcAddress,0,162,1656042,1656042,20,python
841191964,63,cuGetProcAddress,0,163,1656042,1656042,20,python
841192073,70,cuGetProcAddress,0,164,1656042,1656042,20,python
841192189,67,cuGetProcAddress,0,165,1656042,1656042,20,python
841192301,61,cuGetProcAddress,0,166,1656042,1656042,20,python
841192405,147,cuGetProcAddress,0,167,1656042,1656042,20,python
841192597,136,cuGetProcAddress,0,168,1656042,1656042,20,python
841192778,111,cuGetProcAddress,0,169,1656042,1656042,20,python
841192935,55,cuGetProcAddress,0,170,1656042,1656042,20,python
841193040,116,cuGetProcAddress,0,171,1656042,1656042,20,python
841193201,116,cuGetProcAddress,0,172,1656042,1656042,20,python
841193362,70,cuGetProcAddress,0,173,1656042,1656042,20,python
841193478,160,cuGetProcAddress,0,174,1656042,1656042,20,python
841193683,52,cuGetProcAddress,0,175,1656042,1656042,20,python
841193781,51,cuGetProcAddress,0,176,1656042,1656042,20,python
841193877,82,cuGetProcAddress,0,177,1656042,1656042,20,python
841194004,60,cuGetProcAddress,0,178,1656042,1656042,20,python
