Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
975237073,1872871,619,,,,,,,,,,8.389,4471.128,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
977462477,704,634,,,,,,,,,,0.008,11636.359,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
977546123,412819,645,,,,,,,,,,8.389,20317.209,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
978176855,512,656,,,,,,,,,,0.004,8000.000,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
978195159,512,667,,,,,,,,,,0.004,8000.000,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
978205046,512,678,,,,,,,,,,0.004,8000.000,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
978266581,202425,689,,,,,,,,,,4.194,20719.862,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
978608778,480,700,,,,,,,,,,0.004,8533.332,Pageable,Device,NVIDIA GeForce RTX 4090 (0),1,,7,[CUDA memcpy Host-to-Device]
979186808,3296,717,768,1,1,256,1,1,38,0.000,0.000,,,,,NVIDIA GeForce RTX 4090 (0),1,,7,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<float, float, (unsigned long)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, T5)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, (int)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<float, float, (unsigned long)4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, T5)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(int, at::PhiloxCudaState, T3, T4)"
998965084,29791,2344,32,2,1,128,1,1,152,0.000,0.074,,,,,NVIDIA GeForce RTX 4090 (0),1,,13,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_16x6_tn_align4>(T1::Params)
